Date,Open,High,Low,Close,Adj Close,Volume,Type
01-01-2023,1196.713623,1203.475342,1192.885376,1200.964844,1200.964844,2399674550,ETH
02-01-2023,1201.103271,1219.860596,1195.214966,1214.656616,1214.656616,3765758498,ETH
03-01-2023,1214.744019,1219.095337,1207.491577,1214.778809,1214.778809,3392972131,ETH
04-01-2023,1214.718628,1264.807495,1213.168823,1256.526611,1256.526611,6404416893,ETH
05-01-2023,1256.484619,1258.571533,1245.173096,1250.438599,1250.438599,4001786456,ETH
06-01-2023,1250.458984,1273.220337,1240.94751,1269.379028,1269.379028,4977252792,ETH
07-01-2023,1269.4198,1270.598267,1262.271118,1264.270386,1264.270386,2565213548,ETH
08-01-2023,1264.181885,1287.359497,1260.226807,1287.359497,1287.359497,3495088905,ETH
09-01-2023,1287.450806,1342.144165,1286.680786,1321.53894,1321.53894,7990438824,ETH
10-01-2023,1321.395508,1342.757202,1318.527222,1336.58606,1336.58606,5830173253,ETH
11-01-2023,1336.486816,1387.932739,1323.58313,1387.932739,1387.932739,6314904311,ETH
12-01-2023,1405.35144,1432.28125,1378.422119,1417.938477,1417.938477,12230193038,ETH
13-01-2023,1417.946167,1461.672729,1404.023926,1451.614868,1451.614868,7684148212,ETH
14-01-2023,1451.428467,1563.739136,1450.988403,1550.706909,1550.706909,15444626014,ETH
15-01-2023,1550.731567,1556.950806,1520.893799,1552.479492,1552.479492,6774614499,ETH
16-01-2023,1552.519287,1594.039795,1529.573608,1576.833496,1576.833496,8454485431,ETH
17-01-2023,1577.107422,1594.000977,1553.335938,1567.846069,1567.846069,7599462786,ETH
18-01-2023,1567.698975,1602.106689,1509.422852,1515.506958,1515.506958,10354880595,ETH
19-01-2023,1515.249634,1557.970337,1514.380005,1552.556519,1552.556519,6432638856,ETH
20-01-2023,1552.373657,1659.885742,1544.917847,1659.75415,1659.75415,8528894754,ETH
21-01-2023,1659.706055,1674.179321,1626.812988,1627.118164,1627.118164,8859250310,ETH
22-01-2023,1627.365967,1658.023438,1612.085693,1628.38208,1628.38208,7517988734,ETH
23-01-2023,1628.550781,1641.21814,1607.903076,1628.251099,1628.251099,8264507375,ETH
24-01-2023,1627.848267,1639.723877,1551.389771,1556.604248,1556.604248,8180274691,ETH
25-01-2023,1556.807495,1632.241699,1530.797852,1611.71106,1611.71106,10598973448,ETH
26-01-2023,1611.080933,1626.198242,1586.598145,1603.105957,1603.105957,8395315241,ETH
27-01-2023,1603.080078,1617.000854,1565.244995,1598.156494,1598.156494,8124465373,ETH
28-01-2023,1598.125366,1604.704102,1565.390137,1572.435059,1572.435059,5803653357,ETH
29-01-2023,1572.629517,1653.724976,1568.984863,1646.15564,1646.15564,8801292300,ETH
30-01-2023,1646.147705,1646.651611,1546.660767,1567.326538,1567.326538,9180418120,ETH
31-01-2023,1567.419922,1598.517578,1563.804321,1586.5354,1586.5354,6585191019,ETH
01-02-2023,1586.488159,1644.727539,1566.8573,1641.792725,1641.792725,8116969489,ETH
02-02-2023,1641.365967,1704.45813,1641.322632,1643.241577,1643.241577,10558081069,ETH
03-02-2023,1642.904663,1670.696899,1634.223389,1664.745605,1664.745605,8169519805,ETH
04-02-2023,1664.47229,1690.099609,1648.189209,1667.059204,1667.059204,5843302512,ETH
05-02-2023,1667.166504,1671.770264,1616.391846,1631.645874,1631.645874,6926696531,ETH
06-02-2023,1631.645264,1653.715454,1611.319092,1616.24707,1616.24707,6919871886,ETH
07-02-2023,1616.009644,1673.797852,1614.863037,1672.00354,1672.00354,8030277434,ETH
08-02-2023,1671.905273,1688.527222,1635.265015,1650.716797,1650.716797,7806089579,ETH
09-02-2023,1651.082275,1655.234863,1537.182251,1546.438232,1546.438232,10524969124,ETH
10-02-2023,1546.596558,1553.325684,1504.834473,1514.869141,1514.869141,8397387897,ETH
11-02-2023,1514.941895,1541.334717,1510.146973,1539.926758,1539.926758,5064007416,ETH
12-02-2023,1539.776001,1545.554199,1501.462036,1515.033691,1515.033691,5319698775,ETH
13-02-2023,1514.916992,1524.731445,1470.023926,1507.165894,1507.165894,9363855114,ETH
14-02-2023,1506.992065,1562.034302,1497.194458,1556.875122,1556.875122,9249575045,ETH
15-02-2023,1556.765137,1674.289795,1545.689697,1673.745972,1673.745972,10015035156,ETH
16-02-2023,1673.867432,1732.801147,1638.145508,1640.067627,1640.067627,12704861676,ETH
17-02-2023,1640.280151,1716.78186,1636.173828,1694.783325,1694.783325,9802443159,ETH
18-02-2023,1694.741821,1705.309082,1683.670166,1691.819458,1691.819458,5491437195,ETH
19-02-2023,1691.680176,1718.947632,1673.906616,1681.436157,1681.436157,6959144003,ETH
20-02-2023,1682.337036,1716.48938,1659.295044,1702.675171,1702.675171,7703604237,ETH
21-02-2023,1702.797852,1714.285645,1642.396729,1658.036377,1658.036377,8721608198,ETH
22-02-2023,1658.140991,1663.996826,1604.803345,1643.231689,1643.231689,9189387004,ETH
23-02-2023,1643.298584,1674.601563,1632.566162,1651.073853,1651.073853,9013236167,ETH
24-02-2023,1650.895142,1661.091309,1583.147827,1608.373169,1608.373169,8909129423,ETH
25-02-2023,1608.658325,1608.865112,1567.631714,1594.914917,1594.914917,5657686235,ETH
26-02-2023,1594.761108,1645.273438,1590.393066,1640.817139,1640.817139,5727967432,ETH
27-02-2023,1640.763672,1662.575684,1615.387939,1634.326416,1634.326416,7239824677,ETH
28-02-2023,1634.502441,1644.435791,1602.428101,1605.895142,1605.895142,6323676957,ETH
01-03-2023,1606.040405,1663.433716,1601.548584,1663.433716,1663.433716,7701847224,ETH
02-03-2023,1663.549072,1672.051147,1622.599976,1647.319336,1647.319336,7080950926,ETH
03-03-2023,1647.557739,1648.475342,1552.451538,1569.167603,1569.167603,9922240199,ETH
04-03-2023,1569.278076,1575.637207,1551.736816,1566.92395,1566.92395,4389045367,ETH
05-03-2023,1567.179321,1584.208862,1559.954102,1564.46875,1564.46875,5020886238,ETH
06-03-2023,1564.383179,1579.456299,1557.363525,1567.398682,1567.398682,5245153345,ETH
07-03-2023,1567.424683,1579.162231,1543.127563,1561.933105,1561.933105,6854058349,ETH
08-03-2023,1561.977905,1568.175293,1534.088257,1534.088257,1534.088257,7130327525,ETH
